state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,enjoyer,harmony_seeker,hedonist,self_determined,appreciater,type_unknown,conformist,responsibility_denier,total_n_z,germans_n_z,foreigner_n_z,for_prop_z,pop_move_n_z,pop_migr_background_n_z,income_z,unemp_n_z,unemp_prop_z,votes_total_z,afd_votes_z,afd_prop_z,afd_prop_log
Hamburg,21,Hamburg-Nord,279.8,252.9,26.900000000000006,9.6,3133.7599999999998,79.1834,23596,19.8658,7.1,177403,10919,0.06154912825600469,no,0,6,NA,NA,NA,NA,NA,1,NA,NA,0.13114096948948853,0.24853986987766663,-0.10883413889380927,-0.09372273932733914,-0.47709686597604584,0.8607098169778555,1.0923594438066555,0.45695825127255046,0.4039954718374966,1.0920881049959377,-1.0428324406769642,-1.2090062873908975,-2.7879195896363003
Hamburg,22,Hamburg-Wandsbek,314.7,277.2,37.5,11.9,3524.64,89.0601,23596,22.3437,7.1,171156,16740,0.09780551076211176,no,0,6,NA,NA,NA,NA,NA,1,NA,NA,1.052731063583206,1.1112870547088542,0.4583130492187192,0.3325545611714111,-0.2014821157449417,1.1876285534369055,1.0923594438066555,0.8193022403328245,0.4039954718374966,0.7800225723704637,-0.34803516197529166,-0.5452133352889456,-2.324774356267956
Hamburg,23,Hamburg-Bergedorf – Harburg,329.5,270.6,58.89999999999998,17.9,3690.3999999999996,93.2485,23596,23.394499999999997,7.1,154154,17614,0.11426236101560777,no,0,6,NA,NA,NA,NA,NA,1,NA,NA,1.443548639302032,0.8769606588287797,1.6033083157855215,1.4445823016029327,-0.08460250819708112,1.3262645792132361,1.0923594438066555,0.9729610093325969,0.4039954718374966,-0.06930321371858816,-0.24371411377304777,-0.2439162819983192,-2.1692580623634448
Niedersachsen,24,Aurich – Emden,239.9,227.3,12.599999999999994,5.3,2902.79,21.111200000000004,18428,18.7122,7.8,141037,12875,0.09128810170380822,no,0,9,0.03225806451612903,0.0967741935483871,NA,0.06451612903225806,0.0967741935483871,0.7096774193548387,NA,NA,-0.9224820893741033,-0.6603625141420213,-0.8739477983286364,-0.8906759533032631,-0.6399569224150503,-1.061479805810853,-1.116318211721088,0.2882670103911861,0.692583363494794,-0.7245559096443671,-0.8093633671259469,-0.6645360558647946,-2.3937348207520506
Niedersachsen,25,Unterems,314.5,285.8,28.69999999999999,9.1,4340.1,42.143,18302,15.725,5,174953,14620,0.08356530039496322,no,0,9,0.04918032786885246,0.01639344262295082,NA,0.04918032786885246,0.01639344262295082,0.7868852459016393,0.08196721311475409,NA,1.0474497449924112,1.4166214493404692,-0.012526125818097754,-0.18639171769663263,0.37350970840430164,-0.36532729723415786,-1.1701675508457967,-0.14855205580230493,-0.4617682031343949,0.9696996697578375,-0.601079352122611,-0.8059274668372364,-2.4821269121015455
Niedersachsen,26,Friesland – Wilhelmshaven – Wittmund,231.1,220.4,10.699999999999989,4.6,3258.5099999999998,22.878899999999998,18657,18.9502,8.2,137585,12492,0.09079478140785696,no,0,9,NA,NA,NA,NA,0.03571428571428571,0.9642857142857143,NA,NA,-1.1548601073690812,-0.905340109834828,-0.9756062565752222,-1.020412523020274,-0.3891339615262653,-1.0029689418139045,-1.018449174740466,0.3230698149419529,0.8574907301561064,-0.8969987171716819,-0.8550784260063353,-0.6735679148906125,-2.3991534685083047
Niedersachsen,27,Oldenburg – Ammerland,285.3,266.8,18.5,6.5,4850.1,39.6567,19758,17.6886,6.2,174668,12624,0.07227425744841642,no,0,9,0.18181818181818182,0.18181818181818182,0.09090909090909091,NA,NA,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.2763772307363495,0.7420454612008569,-0.5582715332471343,-0.6682704052169587,0.7331175742911802,-0.4476238187907644,-0.5479085209602715,0.13858570476864432,0.0329538968495433,0.9554626476995279,-0.8393228443556532,-1.0126473382567243,-2.6272872651080648
Niedersachsen,28,Delmenhorst – Wesermarsch – Oldenburg-Land,294.2,270.4,23.80000000000001,8.1,4795.46,44.4242,20248,19.417199999999998,6.6,168818,16393,0.09710457415678422,no,0,9,0.06,0.14,0.04,0.08,0.1,0.36,0.06,0.16,0.511395908026724,0.8698598589536243,-0.27469793919086927,-0.3717296744352196,0.6945901746989073,-0.2898195849810385,-0.3384944243641813,0.39135935160249113,0.19786126351085578,0.6632290370289625,-0.3894532440418576,-0.5580462972759368,-2.3319667971035125
Niedersachsen,29,Cuxhaven – Stade II,234.7,222.5,12.199999999999989,5.2,2863.3399999999997,25.816999999999997,20649,13.6126,5.8,140716,12652,0.08991159498564484,no,0,9,0.10989010989010989,0.14285714285714285,0.08791208791208792,0.0989010989010989,0.054945054945054944,0.2967032967032967,0.12087912087912088,0.08791208791208792,-1.0597963727347721,-0.8307817111457132,-0.8953495790121284,-0.9092097489771218,-0.6677736485115943,-0.9057178417915961,-0.1671167657212585,-0.4574488807310443,-0.13195346981176956,-0.7405912923837263,-0.8359807512782358,-0.6897375623273858,-2.408928369340281
Niedersachsen,30,Stade I – Rotenburg II,252,234.4,17.599999999999994,7,3250.8,33.012,21075,13.356,5.3,151639,13479,0.08888874234200964,no,0,9,0.12564102564102564,0.06666666666666667,0.16153846153846155,0.1641025641025641,0.14102564102564102,0.023076923076923078,0.10512820512820513,0.21282051282051281,-0.6029623146310091,-0.4082841185740611,-0.6064255397849908,-0.5756014268476652,-0.39457038632231956,-0.6675633662255805,0.014945285605138326,-0.49497156832653505,-0.3380876781384104,-0.19493868907525005,-0.7372696450273711,-0.7084642617097506,-2.4203697773041797
Niedersachsen,31,Mittelems,308.2,278.9,29.30000000000001,9.5,3513.48,57.9416,18813,11.0952,3.6,178827,9699,0.05423677632572262,no,0,9,NA,NA,NA,NA,NA,0.9791666666666666,NA,0.020833333333333332,0.8810882093823702,1.1716438536476614,0.01957654520714094,-0.11225653500119777,-0.20935118198670152,0.15760630911431334,-0.9517785643955884,-0.8255689655045761,-1.0389439864489893,1.163223260824123,-1.1884522104787234,-1.3428830654669437,-2.914396070639052
Niedersachsen,32,Cloppenburg – Vechta,302.6,275.1,27.5,9.1,3540.42,71.111,20024,14.222200000000003,4.7,162519,13146,0.08088900374725416,no,0,9,0.047619047619047616,0.09523809523809523,0.07142857142857142,0.047619047619047616,0.07142857142857142,0.42857142857142855,0.11904761904761904,0.11904761904761904,0.7332112888401126,1.0367286560197404,-0.0767314678685721,-0.18639171769663263,-0.19035542530632402,0.5935134043914618,-0.4342265828081083,-0.3683069073942898,-0.5854487281303793,0.34856587230863917,-0.7770166805552283,-0.8549259253068346,-2.5146773881703606
Niedersachsen,33,Diepholz – Nienburg I,244.7,229.3,15.399999999999977,6.3,4086.49,32.7898,21380,11.011499999999998,4.5,147273,12433,0.08442144860225567,no,0,9,0.018691588785046728,0.056074766355140186,0.09345794392523364,0.12149532710280374,0.1588785046728972,0.3177570093457944,0.037383177570093455,0.19626168224299065,-0.795730443195025,-0.5893545153904831,-0.7241353335441958,-0.7053379965646761,0.19468588317376936,-0.6749181854709967,0.145294876343521,-0.8378084392058336,-0.6679024114610357,-0.4130398761158806,-0.862120693562322,-0.790252843317923,-2.471933779307396
Niedersachsen,34,Osterholz – Verden,248.2,233.7,14.5,5.9,4144.94,35.4926,22019,10.9208,4.4,151790,14671,0.09665327096646682,no,0,9,0.10606060606060606,0.1590909090909091,0.05303030303030303,0.21212121212121213,0.23484848484848486,NA,0.13636363636363635,0.09848484848484848,-0.7033073678561135,-0.43313691813710004,-0.7722893400820509,-0.7794731792601108,0.2358997650582556,-0.585455514649617,0.41838795333311624,-0.8510715248056424,-0.7091292531263638,-0.1873955651075141,-0.5949919683030293,-0.5663088942667799,-2.336625230481261
Niedersachsen,35,Rotenburg I – Heidekreis,214.9,199.6,15.300000000000011,7.1,5608.89,27.5072,19984,12.2493,5.7,126097,11669,0.09253987010000238,no,0,9,0.15517241379310345,0.13793103448275862,0.15517241379310345,0.1896551724137931,0.08620689655172414,0.06321839080459771,0.06896551724137931,0.14367816091954022,-1.5826469132234713,-1.643823296850825,-0.7294857787150669,-0.5570676311738066,1.2681506185192282,-0.8497722275314599,-0.45132161110166663,-0.6568046094876011,-0.17318031147709756,-1.470875592279965,-0.9533120903889974,-0.6416182967938865,-2.3801156992215544
Niedersachsen,36,Harburg,248.1,232.3,15.799999999999983,6.4,3299.73,29.0277,24050,10.4202,4.2,160858,16048,0.09976501013316093,no,0,9,0.19708029197080293,0.15328467153284672,0.1070559610705596,0.18248175182481752,0.1192214111922141,0.029197080291970802,0.11192214111922141,0.09975669099756691,-0.7059480271515107,-0.4828425172631759,-0.7027335528607038,-0.6868042008908174,-0.360069184601055,-0.7994436826950282,1.2863880149385434,-0.9242743985792303,-0.7915829364570202,0.2655915086635436,-0.43063260517432234,-0.5093382208333996,-2.3049377570073486
